Measure,WaterSign,chord_note,Time
5,Dbmaj7/C,Db,8.0
9,F13,F,16.0
10,F9,F,18.0
11,F13,F,20.0
12,Eb13,Eb,22.0
12,E9,E,22.666666666666668
12,F13,F,23.333333333333332
13,F9,F,24.0
16,Eb13,Eb,30.0
16,E9,E,30.666666666666668
16,F13,F,31.333333333333332
17,F9,F,32.0
20,F9,F,38.0
20,F13,F,38.666666666666664
20,Gmin7,G,39.333333333333336
21,Abmaj7,Ab,40.0
21,G7(#9),G,41.0
22,Cmin7,C,42.0
22,Bbmin7,Bb,42.666666666666664
22,Eb7,Eb,43.333333333333336
23,Abmaj7,Ab,44.0
23,G7,G,45.0
24,Cmin7,C,46.0
24,Bbmin7,Bb,46.666666666666664
24,Eb7,Eb,47.333333333333336
25,Abmaj7,Ab,48.0
25,G7,G,49.0
26,Cmin7,C,50.0
26,Bbmin7,Bb,50.666666666666664
26,Eb7,Eb,51.333333333333336
27,Abmaj7,Ab,52.0
27,G7,G,53.0
28,Dbmaj7,Db,54.0
32,F9,F,62.0
33,Abmaj7,Ab,64.0
33,G7,G,65.0
34,Cmin7,C,66.0
34,Bbmin7,Bb,66.66666666666667
34,Eb7,Eb,67.33333333333333
35,Abmaj7,Ab,68.0
35,G7,G,69.0
36,Cmin7,C,70.0
36,Bbmin7,Bb,70.66666666666667
36,Eb7,Eb,71.33333333333333
37,Abmaj7,Ab,72.0
37,G7,G,73.0
38,Cmin7,C,74.0
38,Bbmin7,Bb,74.66666666666667
38,Eb7,Eb,75.33333333333333
39,Abmaj7,Ab,76.0
39,G7,G,77.0
40,Dbmaj7/C,Db,78.0
42,Dbmaj7/C,Db,82.0
44,Dbmaj7/C,Db,86.0
46,Dbmaj7/C,Db,90.0
