Measure,SoTired,chord_note,Time
1,Fmin7,F,0.0
2,Gb9,Gb,2.0
3,Fmin7,F,4.0
4,Gb9,Gb,6.0
5,Fmin7,F,8.0
6,Gb9,Gb,10.0
7,Fmin7,F,12.0
8,C7,C,14.0
9,Fmin7,F,16.0
10,Gb9,Gb,18.0
11,Fmin7,F,20.0
12,Gmin7,G,22.0
12,C7,C,22.666666666666668
12,Fmin7,F,23.333333333333332
13,Gmin7,G,24.0
13,C7,C,24.666666666666668
13,Fmin7,F,25.333333333333332
14,Fmin7,F,26.0
15,Gbmaj7,Gb,28.0
16,Fmin7,F,30.0
17,Ebmaj7,Eb,32.0
17,Emaj7,E,33.0
18,Dbmin7,Db,34.0
18,Gb7,Gb,35.0
19,Gbmin7,Gb,36.0
19,B7,B,37.0
20,Bmin7,B,38.0
20,E7,E,39.0
21,Gmin7,G,40.0
21,C7,C,41.0
22,Fmin7,F,42.0
23,Gb9,Gb,44.0
24,Fmin7,F,46.0
25,C7,C,48.0
26,Fmin7,F,50.0
27,Gb9,Gb,52.0
28,Fmin7,F,54.0
29,Gmin7,G,56.0
29,C7,C,56.666666666666664
29,Fmin7,F,57.333333333333336
