Measure,IDWNOBY,chord_note,Time
2,Emin7,E,1.5
3,A7,A,3.0
4,Emin7,E,4.5
5,A7,A,6.0
6,Emin7,E,7.5
7,A7,A,9.0
9,Emin7,E,12.0
10,A7,A,13.5
11,Emin7,E,15.0
12,A7,A,16.5
13,Emin7,E,18.0
14,A7,A,19.5
15,Emin7,E,21.0
16,A7,A,22.5
17,Emin7,E,24.0
18,G7,G,25.5
19,A7,A,27.0
20,Bb7,Bb,28.5
21,C9,C,30.0
22,F#min7,F#,31.5
22,B7,B,32.25
23,Emin7,E,33.0
24,Emin7,E,34.5
25,Emin7,E,36.0
26,A7,A,37.5
27,Emin7,E,39.0
28,A7,A,40.5
29,Emin7,E,42.0
30,A7,A,43.5
31,Emin7,E,45.0
32,A7,A,46.5
33,Emin,E,48.0
34,G9,G,49.5
35,A7,A,51.0
36,Bb7(b5),Bb,52.5
37,C9,C,54.0
38,F#min7,F#,55.5
38,B7,B,56.25
39,Emin7,E,57.0
40,Emin7,E,58.5
