Measure,I Wish,chord_note,Time
9,Ebmin7,Eb,16.0
9,Ab7,Ab,17.0
10,Ebmin7,Eb,18.0
10,Ab7,Ab,19.0
11,Ebmin7,Eb,20.0
11,Ab7,Ab,21.0
12,Ebmin7,Eb,22.0
12,Ab7,Ab,23.0
13,Ebmin7,Eb,24.0
13,Ab7,Ab,25.0
14,Ebmin7,Eb,26.0
14,Ab7,Ab,27.0
15,Ebmin7,Eb,28.0
15,Ab7,Ab,29.0
16,Ebmin7,Eb,30.0
16,Ab7,Ab,31.0
17,Bb7,Bb,32.0
17,C7,C,33.0
18,Fmin7,F,34.0
18,Abmin7,Ab,35.0
19,Bb7,Bb,36.0
19,C7,C,37.0
20,Fmin7,F,38.0
20,Bb7,Bb,39.0
21,Ebmin7,Eb,40.0
21,Ab7,Ab,41.0
22,Ebmin7,Eb,42.0
22,Ab7,Ab,43.0
23,Ebmin7,Eb,44.0
23,Ab7,Ab,45.0
24,Ebmin7,Eb,46.0
24,Ab7,Ab,47.0
25,Ebmin7,Eb,48.0
25,Ab7,Ab,49.0
26,Ebmin7,Eb,50.0
26,Ab7,Ab,51.0
27,Ebmin7,Eb,52.0
27,Ab7,Ab,53.0
28,Ebmin7,Eb,54.0
28,Ab7,Ab,55.0
29,Bb7,Bb,56.0
29,C7,C,57.0
30,Bb7,Bb,58.0
30,C7,C,59.0
31,Fmin7,F,60.0
31,Abmin7,Ab,61.0
32,Fmin7,F,62.0
32,Bb7,Bb,63.0
33,Ebmin7,Eb,64.0
33,Ab7,Ab,65.0
34,Ebmin7,Eb,66.0
34,Ab7,Ab,67.0
35,Ebmin7,Eb,68.0
35,Ab7,Ab,69.0
36,Ebmin7,Eb,70.0
36,Ab7,Ab,71.0
37,Ebmin7,Eb,72.0
37,Ab7,Ab,73.0
38,Ebmin7,Eb,74.0
38,Ab7,Ab,75.0
39,Ebmin7,Eb,76.0
39,Ab7,Ab,77.0
40,Ebmin7,Eb,78.0
45,Ebmin7,Eb,88.0
45,Ab7,Ab,89.0
53,Bb7,Bb,104.0
53,C7,C,105.0
54,Fmin7,F,106.0
54,Abmin7,Ab,107.0
55,Bb7,Bb,108.0
55,C7,C,109.0
56,Fmin7,F,110.0
56,Bb7,Bb,111.0
57,Ebmin7,Eb,112.0
57,Ab7,Ab,113.0
