Measure,Round Midnight 2,chord_note,Time
1,Ebmin7,Eb,0.0
1,Cmin7(b5),C,1.0
2,Fmin7(b5),F,2.0
2,Bb7,Bb,3.0
3,Ebmin7,Eb,4.0
3,Ab7,Ab,5.0
4,Bmin7,B,6.0
4,E7,E,6.5
4,Bbmin7,Bb,7.0
4,Eb7,Eb,7.5
5,Abmin7,Ab,8.0
5,Db7,Db,9.0
6,Ebmin7,Eb,10.0
6,Ab7,Ab,11.0
7,B7,B,12.0
8,Bb7,Bb,14.0
9,B7,B,16.0
9,Bb7,Bb,17.0
10,Ebmin7,Eb,18.0
11,Cmin7(b5),C,20.0
11,F7,F,21.0
12,Bb7,Bb,22.0
13,Cmin7,C,24.0
13,F7,F,25.0
14,Bb7,Bb,26.0
15,Abmin7,Ab,28.0
15,Db7,Db,28.666666666666668
15,Gbmaj7,Gb,29.333333333333332
16,B7,B,30.0
16,Bb7,Bb,30.666666666666668
16,Eb7,Eb,31.333333333333332
17,Db7,Db,32.0
18,B7,B,34.0
18,Bb7,Bb,35.0
19,Ebmin7,Eb,36.0
19,Cmin7(b5),C,37.0
20,Fmin7(b5),F,38.0
20,Bb7,Bb,39.0
21,Ebmin7,Eb,40.0
21,Ab7,Ab,41.0
22,Bmin7,B,42.0
22,E7,E,42.5
22,Bbmin7,Bb,43.0
22,Eb7,Eb,43.5
23,Abmin7,Ab,44.0
23,Db7,Db,45.0
24,Ebmin7,Eb,46.0
24,Ab7,Ab,47.0
25,B7,B,48.0
25,Bb7,Bb,49.0
26,Ebmin7,Eb,50.0
