,Measure,Blues A La Mode,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb7,Bb,0.0,62.72031021118164,24.0909366607666,23.72679901123047,91.5537109375,90.16573333740234,399.2877197265625,85.87833404541016,254.96339416503906,1482.4761962890625,370.6422119140625,443.3957824707031,80.29607391357422
1,2,Eb7,Eb,2.0,56.88114547729492,278.6102294921875,178.8939971923828,123.99886322021484,120.84468841552734,585.1321411132812,123.3112564086914,42.9463996887207,174.8173065185547,609.976318359375,3765.000244140625,528.3788452148438
2,3,Bb7,Bb,4.0,73.20613098144531,74.47380065917969,136.5897674560547,483.9486389160156,160.00538635253906,518.0181884765625,110.48632049560547,307.0146179199219,1530.54150390625,376.2851257324219,450.0951843261719,84.0661849975586
3,4,Gmin7,G,6.0,3.9998691082000732,5.912735462188721,21.34398651123047,9.837172508239746,15.693648338317871,81.6429443359375,20.72389030456543,3.9288454055786133,11.447985649108887,85.19976043701172,509.4001770019531,74.57291412353516
4,4,Fmin7,F,6.666666666666668,11.77600383758545,23.834402084350586,64.38507843017578,50.76969528198242,51.64567565917969,148.58753967285156,76.94093322753906,65.29647064208984,33.1749153137207,52.06146240234375,82.91999053955078,23.814271926879883
5,4,Emin7,E,7.333333333333332,34.54683303833008,84.0852279663086,54.476654052734375,32.37403869628906,50.66621780395508,164.17410278320312,39.023681640625,49.28361511230469,36.516387939453125,38.221378326416016,102.98394012451172,26.890365600585938
6,5,Eb7,Eb,8.0,1332.2841796875,930.6608276367188,3425.196533203125,2541.017333984375,3926.316162109375,1729.7982177734375,553.3080444335938,1762.2069091796875,805.9391479492188,704.6714477539062,3235.995361328125,2597.23681640625
7,6,Ab7,Ab,10.0,56.7520866394043,102.96508026123047,263.5907287597656,935.5556640625,248.3179931640625,141.1990966796875,298.8097839355469,192.6453857421875,110.46539306640625,41.53227615356445,116.68695831298828,65.12781524658203
8,7,Bb7,Bb,12.0,253.85289001464844,78.60863494873047,138.43223571777344,510.2716369628906,166.51414489746094,478.1833190917969,288.8217468261719,315.5235595703125,1523.0950927734375,381.5794677734375,445.8275451660156,114.5829086303711
9,8,Cmin7,C,14.0,7.2863383293151855,5.7633819580078125,20.98368263244629,11.026190757751465,16.390390396118164,83.4441909790039,22.919294357299805,3.7293035984039307,9.208809852600098,91.52770233154297,601.17041015625,94.15023803710938
10,8,Fmin7,F,14.666666666666664,86.24752044677734,36.56515121459961,69.83375549316406,197.09519958496094,62.07780456542969,23.31787109375,25.63410758972168,76.48987579345703,23.197006225585938,22.344327926635742,91.1129150390625,56.53959655761719
11,8,G7,G,15.333333333333336,101.76497650146484,97.92816925048828,66.96092224121094,149.8648223876953,56.41477584838867,34.89731216430664,28.652389526367188,78.82054901123047,35.29164505004883,29.22064781188965,98.75641632080078,38.778743743896484
12,9,Dbmin7,Db,16.0,347.7044372558594,581.2664184570312,195.1180877685547,369.7306823730469,152.61480712890625,253.7384796142578,83.52535247802734,119.00402069091797,139.7500762939453,46.51108169555664,87.40390014648438,110.95679473876953
13,9,Gb7,Gb,17.0,165.73890686035156,275.96746826171875,140.9202423095703,199.84490966796875,700.230224609375,521.3583984375,178.1608428955078,574.847900390625,292.3717041015625,52.80038833618164,57.37123489379883,306.9789733886719
14,10,Gbmin7,Gb,18.0,44.01852035522461,164.04774475097656,56.97207260131836,88.9690933227539,323.55975341796875,178.9138946533203,283.7853088378906,151.75772094726562,73.88854217529297,67.2165298461914,171.95849609375,61.287933349609375
15,10,B7,B,18.666666666666668,50.138973236083984,130.85488891601562,60.58188247680664,59.897430419921875,170.73619079589844,126.00658416748047,79.83162689208984,27.2601318359375,54.21685791015625,72.3428955078125,29.319063186645508,51.81536865234375
16,10,Bb7,Bb,19.33333333333333,26.92144012451172,89.41265869140625,24.882217407226562,40.619422912597656,143.9523162841797,60.67465591430664,48.57260513305664,16.712467193603516,19.571056365966797,22.662351608276367,12.60844898223877,9.951992988586426
17,11,G7,G,20.0,104.39360809326172,114.7790756225586,162.13499450683594,624.7891235351562,243.0038299560547,384.1063232421875,896.095947265625,187.09144592285156,166.0592498779297,272.9288635253906,180.42193603515625,437.6294860839844
18,11,Gb7,Gb,21.0,106.02246856689453,69.96883392333984,228.9282989501953,259.7132263183594,179.8621826171875,723.2826538085938,281.82403564453125,330.1389465332031,234.69313049316406,161.0981903076172,147.48004150390625,386.3990173339844
19,12,F7,F,22.0,128.0602264404297,408.4033203125,124.72158813476562,193.8144073486328,701.362060546875,571.3316650390625,453.2245178222656,96.72612762451172,177.7542266845703,161.3930206298828,365.1683044433594,164.10009765625
20,12,Bb7,Bb,23.0,6077.55419921875,2367.239013671875,4496.99609375,9332.7705078125,6087.64013671875,9732.2958984375,2682.270751953125,2201.172607421875,9275.90234375,5491.56884765625,10962.5439453125,2818.962158203125
