,Measure,RainbowVisions,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Abmaj7,Ab,0.0,14767.5126953125,2885.134521484375,2220.30419921875,8259.3310546875,3997.721923828125,932.6851196289062,944.5856323242188,4243.40478515625,4354.09912109375,1323.5399169921875,2805.7568359375,3228.9677734375
1,3,Dbmaj7,Db,3.0,6998.46435546875,15538.8115234375,2957.896728515625,3964.788818359375,1316.92724609375,2195.889892578125,793.9590454101562,1534.4814453125,7335.89111328125,1413.1973876953125,605.3002319335938,1057.6236572265625
2,5,Abmaj7,Ab,6.0,5140.40966796875,1350.565185546875,1327.8907470703125,5144.61376953125,1655.8128662109375,429.9727783203125,713.99560546875,4050.555908203125,4263.046875,948.6267700195312,1042.2281494140625,1214.862060546875
3,7,Dbmaj7,Db,9.0,4715.50146484375,3899.945556640625,756.0776977539062,720.582763671875,1508.5811767578125,7372.14453125,1358.6529541015625,1335.133056640625,7789.94384765625,1497.9298095703125,1127.3165283203125,796.4340209960938
4,9,Abmaj7,Ab,12.0,5105.80224609375,1191.0478515625,1303.36962890625,5147.59814453125,1700.2418212890625,543.9898071289062,689.479248046875,3908.510498046875,3259.656005859375,589.1762084960938,343.5826721191406,1177.6962890625
5,11,Dbmaj7,Db,15.0,4721.47412109375,3952.373291015625,764.521728515625,721.3525390625,1502.56787109375,7352.86376953125,1356.7012939453125,1336.7979736328125,7797.689453125,1497.9537353515625,1126.398681640625,796.7080688476562
6,13,Abmaj7,Ab,18.0,9131.4912109375,1763.74462890625,1524.0267333984375,6011.95068359375,1844.1533203125,588.3845825195312,706.6377563476562,3634.607177734375,3265.333984375,652.2068481445312,513.5806274414062,1738.3472900390625
7,15,Dbmaj7,Db,21.0,4702.03076171875,3940.762451171875,776.4965209960938,600.0270385742188,1447.4820556640625,7467.3515625,1366.1329345703125,1053.3883056640625,5901.931640625,2128.539306640625,7547.12841796875,1696.92138671875
8,17,Abmaj7,Ab,24.0,9131.48828125,1763.7447509765625,1524.0030517578125,6012.06298828125,1844.16015625,588.3614501953125,706.650390625,3634.560302734375,3264.601806640625,652.1442260742188,513.7582397460938,1738.3548583984375
9,19,Dbmaj7,Db,27.0,4702.0458984375,3940.7763671875,776.4999389648438,600.0260620117188,1447.47802734375,7467.34326171875,1366.1292724609375,1053.3841552734375,5901.91259765625,2128.5322265625,7547.09814453125,1696.9163818359375
10,21,Bmaj7,B,30.0,74.84848022460938,57.01924133300781,158.42259216308594,574.5484619140625,121.9808349609375,148.10568237304688,609.0761108398438,115.28626251220703,40.02121353149414,72.32149505615234,366.5907287597656,346.9926452636719
11,21,Dbmaj7,Db,30.75,15.890037536621094,13.026988983154297,37.82916259765625,144.3436737060547,30.457990646362305,28.979461669921875,95.83867645263672,25.103178024291992,11.953295707702637,8.076393127441406,51.834381103515625,85.47359466552734
12,22,Bb6,Bb,31.5,221.85687255859375,222.22821044921875,397.2635803222656,113.05585479736328,144.07823181152344,571.3468627929688,218.1971893310547,348.4469299316406,187.9511260986328,273.4232482910156,1014.7978515625,257.03265380859375
13,22,Amaj13,A,32.25,33.03945541381836,53.849761962890625,92.2767333984375,27.2629337310791,38.216487884521484,175.14190673828125,43.6828727722168,60.486141204833984,20.75954246520996,28.229660034179688,92.02494049072266,30.44251823425293
14,23,Abmin7,Ab,33.0,90.42559814453125,106.8272705078125,242.0643310546875,660.9812622070312,294.5600891113281,196.65240478515625,657.8261108398438,233.8275146484375,270.9610900878906,98.79740142822266,145.02354431152344,356.2435302734375
15,23,Gmaj7,G,33.75,17.93745231628418,16.521787643432617,46.2281379699707,158.69241333007812,102.9490737915039,45.37055587768555,120.235107421875,42.92227554321289,34.35483169555664,15.991111755371094,26.970048904418945,71.16244506835938
16,24,Gb9,Gb,34.5,465.3052978515625,1002.8801879882812,534.5650024414062,818.533447265625,2306.505615234375,1296.1844482421875,1989.17822265625,1128.2366943359375,2872.885986328125,752.382568359375,1426.4786376953125,731.9091186523438
17,25,Bb13,Bb,36.0,1380.98095703125,529.0953369140625,936.4678344726562,1786.1849365234375,1107.81689453125,1171.3721923828125,831.4765014648438,3298.3564453125,1494.0474853515625,416.3976745605469,459.7546081542969,480.3286437988281
18,26,Bmaj7,B,37.5,82.9368896484375,67.86761474609375,182.7560272216797,539.5723266601562,135.03807067871094,159.5479278564453,679.3894653320312,309.8003234863281,77.88011169433594,118.35238647460938,415.8610534667969,357.7356872558594
19,26,Dbmaj7,Db,38.25,17.774587631225586,14.978153228759766,41.985145568847656,142.68154907226562,42.34202194213867,39.714786529541016,102.63309478759766,22.6551570892334,12.954819679260254,10.98049259185791,60.57168197631836,85.96878051757812
20,27,Bb7,Bb,39.0,215.2151641845703,229.91510009765625,390.2605285644531,116.59304809570312,145.51211547851562,526.1627197265625,161.4895782470703,76.6751708984375,306.8669128417969,283.0532531738281,1011.9613647460938,236.0572052001953
21,27,Amaj13,A,39.75,29.685209274291992,56.02357482910156,99.37368774414062,30.172609329223633,43.38376998901367,166.0562286376953,36.48272705078125,11.484145164489746,36.381065368652344,35.40719985961914,92.5827407836914,29.717567443847656
22,28,Abmin7,Ab,40.5,91.27349090576172,108.3163833618164,246.3665008544922,651.1787719726562,272.6839294433594,189.8661651611328,647.6588745117188,229.58741760253906,272.7298889160156,98.31637573242188,144.4438934326172,354.1631164550781
23,28,Gmaj7,G,41.25,18.548799514770508,17.228412628173828,47.81107711791992,156.3731231689453,102.74956512451172,49.19842529296875,121.3836898803711,43.95997619628906,34.57121658325195,16.825571060180664,28.388641357421875,70.63127136230469
24,29,Gb9,Gb,42.0,465.7569580078125,1003.8759155273438,535.9296264648438,818.4901733398438,2314.0986328125,1339.9332275390625,1996.017578125,1129.2552490234375,2884.364990234375,761.320068359375,1472.951171875,739.1943969726562
25,30,Bb13,Bb,43.5,1383.0958251953125,529.4644165039062,936.6135864257812,1785.8203125,1105.2828369140625,1174.8443603515625,831.244873046875,3299.862060546875,1493.7723388671875,416.9538269042969,463.1863708496094,481.5668640136719
26,31,Ebmaj7,Eb,45.0,197.26246643066406,308.97528076171875,1648.7186279296875,1985.44140625,467.779541015625,284.0974426269531,300.3981628417969,1289.2100830078125,321.9163513183594,483.8864440917969,2670.622314453125,513.96435546875
