,Measure,Jive Samba,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,9,F7(#9),F,16.0,0.3217639625072479,0.09220033138990402,0.22640745341777802,0.8088477253913879,0.45441362261772156,1.9368081092834473,0.46123483777046204,0.11718922853469849,0.15240074694156647,0.139446422457695,0.051295336335897446,0.09378192573785782
1,9,F,F,17.0,12.411808013916016,4.972413063049316,10.28785514831543,83.59029388427734,29.176599502563477,28.400400161743164,12.147110939025879,153.1596221923828,1059.96826171875,174.47972106933594,7.981416702270508,5.683486461639404
2,10,F7(#9),F,18.0,0.3182480037212372,0.260479599237442,3.1064670085906982,24.2074031829834,5.082992076873779,0.7830833792686462,0.3589818775653839,1.8638304471969604,0.8941664099693298,0.2849973440170288,0.4337593615055084,0.23369579017162323
3,10,F,F,19.0,14.181544303894043,2.8565189838409424,1.5304726362228394,5.613943576812744,3.8481605052948,1.1935936212539673,1.3564904928207397,11.660026550292969,2.9447929859161377,0.6339676976203918,0.9212026000022888,2.7428064346313477
4,11,F7(#9),F,20.0,11.839595794677734,3.0677454471588135,6.072694301605225,56.30751419067383,22.181936264038086,25.735092163085938,11.014286041259766,149.31216430664062,1074.474609375,175.99159240722656,13.889336585998535,5.796945095062256
5,11,F,F,21.0,2.4447367191314697,6.318461894989014,20.652347564697266,121.49072265625,25.167030334472656,20.235567092895508,14.82370376586914,28.235719680786133,6.714643478393555,5.156516075134277,30.950044631958008,10.57361888885498
6,12,F7(#9),F,22.0,8.23221492767334,2.306234836578369,6.198982238769531,23.386877059936523,132.65127563476562,26.130638122558594,17.532346725463867,13.939273834228516,27.904054641723633,5.656055450439453,4.139065742492676,22.181137084960938
7,12,F,F,23.0,0.04108728468418121,0.008204051293432713,0.02211073227226734,0.3449173867702484,2.091677665710449,0.3712407052516937,0.17912518978118896,0.1652631312608719,0.47649380564689636,0.06431365758180618,0.03695595636963844,0.17472100257873535
8,13,F7(#9),F,24.0,2.9025373458862305,6.832578659057617,22.47873878479004,130.9462127685547,29.41990852355957,41.08043670654297,18.542409896850586,31.039772033691406,6.49029016494751,5.292243480682373,26.59217643737793,9.619712829589844
9,13,F,F,25.0,7555.20263671875,9989.578125,35022.39453125,12583.8115234375,13513.359375,62595.0625,13478.1328125,4540.13720703125,20113.69140625,19398.501953125,48742.16015625,8150.9296875
10,22,Bb7,Bb,42.0,271.5291442871094,68.59577178955078,17.16182518005371,50.86460876464844,177.8746795654297,1125.1514892578125,191.65858459472656,111.53240203857422,84.54610443115234,174.20298767089844,37.051998138427734,45.338287353515625
11,24,F7(#9),F,46.0,177.83558654785156,30.382253646850586,5.674607753753662,10.360758781433105,5.4546380043029785,3.3696374893188477,5.531567096710205,8.737223625183105,3.0024044513702393,2.499053716659546,7.684816837310791,27.981224060058594
12,26,F7(#9),F,50.0,293.0875549316406,39.79554748535156,1.3772577047348022,7.424747943878174,5.846492767333984,2.777564287185669,1.1045482158660889,1.0955835580825806,0.6516648530960083,1.3888778686523438,3.128358840942383,41.1838493347168
