,Measure,Toad's Place,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,F9,F,0.0,152.01744079589844,51.86800765991211,88.62042236328125,261.23480224609375,162.7498016357422,107.90573120117188,52.87322998046875,137.76014709472656,82.68830871582031,145.0008087158203,55.43000793457031,63.52988052368164
1,1,Bb7,Bb,0.5,79.69017791748047,23.5882625579834,36.98487091064453,96.55132293701172,65.0416030883789,91.36280059814453,28.163686752319336,60.4167366027832,35.05685043334961,30.84688377380371,12.218090057373047,19.478525161743164
2,1,E9,E,1.0,104.5654296875,89.00411224365234,187.1111602783203,199.2021026611328,134.20570373535156,193.56724548339844,337.3435363769531,136.12303161621094,269.2490234375,443.5708923339844,157.19007873535156,169.60861206054688
3,1,Eb9,Eb,1.5,55.885498046875,24.012643814086914,60.42818832397461,66.92813873291016,96.6750259399414,131.0049591064453,129.5015106201172,82.99873352050781,336.1416015625,97.86975860595703,87.6289291381836,79.2185287475586
4,2,E9,E,2.0,464.2023620605469,1186.9254150390625,646.961181640625,1217.6212158203125,994.6398315429688,2175.873779296875,835.754150390625,1000.3561401367188,455.087646484375,733.126220703125,3102.50390625,900.337646484375
5,3,F9,F,4.0,26.75231170654297,30.435781478881836,91.79650115966797,62.04230880737305,39.671607971191406,52.19755172729492,171.06910705566406,49.50178146362305,78.39443969726562,24.21177101135254,27.876550674438477,75.54232788085938
6,3,Bb7,Bb,4.5,150.60525512695312,69.1270523071289,109.66947174072266,357.1595153808594,166.21408081054688,87.01116943359375,110.44017791748047,130.5930633544922,68.71465301513672,151.83775329589844,145.02259826660156,117.30240631103516
7,3,E9,E,5.0,157.70506286621094,76.66104888916016,219.3201904296875,157.25247192382812,152.9167022705078,239.88946533203125,96.76358032226562,116.43453216552734,159.32044982910156,68.22156524658203,133.42495727539062,79.28414154052734
8,3,Eb9,Eb,5.5,1429.5198974609375,2027.7366943359375,2630.788330078125,2843.992431640625,3465.819580078125,5168.98681640625,5419.17431640625,3034.9443359375,2682.169189453125,1429.08251953125,2667.32666015625,3119.643798828125
9,5,F9,F,8.0,275.7300720214844,92.19092559814453,159.5368194580078,441.1585693359375,295.2585144042969,211.91046142578125,95.16393280029297,232.552490234375,130.70664978027344,249.2496337890625,86.99990844726562,110.8173828125
10,5,Bb7,Bb,8.666666666666666,108.7479248046875,34.48550796508789,44.88580322265625,134.89622497558594,70.18224334716797,53.71744155883789,20.778072357177734,71.45353698730469,21.4890193939209,16.904273986816406,8.592687606811523,20.55208396911621
11,5,E9,E,9.333333333333334,52.63992691040039,39.42635726928711,159.44061279296875,109.26101684570312,77.79618072509766,265.3617248535156,96.5700912475586,34.15707778930664,80.95220184326172,77.26917266845703,132.00540161132812,53.04798889160156
12,6,Eb9,Eb,10.0,775.0883178710938,2011.6170654296875,1713.2369384765625,1890.8111572265625,1209.669677734375,3450.818359375,2139.101806640625,2056.178955078125,901.0927124023438,726.8211059570312,2224.75830078125,1315.8931884765625
13,7,F9,F,12.0,2.121124505996704,4.359224319458008,6.944572448730469,4.410693645477295,5.293494701385498,8.874603271484375,3.822664976119995,0.9372088313102722,1.0216774940490723,0.6399433612823486,0.926283061504364,2.0105137825012207
14,7,Bb7,Bb,12.5,158.36624145507812,60.23848342895508,106.48345947265625,282.9818115234375,172.51292419433594,121.31570434570312,58.382205963134766,137.90235900878906,76.34310150146484,138.24903869628906,122.53276824951172,103.83016967773438
15,7,E9,E,13.0,156.16064453125,72.94210052490234,199.6178741455078,144.0248260498047,138.77297973632812,231.8518524169922,97.37374114990234,102.61840057373047,146.95069885253906,69.5475845336914,135.29673767089844,70.63800811767578
16,7,Eb9,Eb,13.5,1437.9208984375,2017.87255859375,2494.837646484375,2790.078369140625,3594.7998046875,5247.75830078125,5641.365234375,3101.408203125,2682.376708984375,1426.8992919921875,2675.655517578125,3169.692138671875
17,9,F9,F,16.0,275.7281799316406,92.18952178955078,159.527099609375,441.1515808105469,295.2557067871094,211.9057159423828,95.15777587890625,232.5526885986328,130.70741271972656,249.2486114501953,86.99848175048828,110.81769561767578
18,9,Bb7,Bb,16.666666666666668,108.74746704101562,34.485233306884766,44.88557434082031,134.8956756591797,70.18104553222656,53.716915130615234,20.779176712036133,71.4533462524414,21.4890193939209,16.904417037963867,8.592339515686035,20.55192756652832
19,9,E9,E,17.333333333333332,52.6392822265625,39.425907135009766,159.4395751953125,109.26172637939453,77.79703521728516,265.3643493652344,96.5709228515625,34.15764236450195,80.95230102539062,77.26903533935547,132.0052947998047,53.04823303222656
20,10,Eb9,Eb,18.0,775.08837890625,2011.6083984375,1713.2379150390625,1890.8076171875,1209.6715087890625,3450.820556640625,2139.106201171875,2056.187744140625,901.097412109375,726.8230590820312,2224.761474609375,1315.897216796875
